event,domain,tld,iso2,region,macro,role,finance_media,community,state_media,government,military,int_org,validated,actor_type
venezuela,fox32chicago.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,foxsanantonio.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,gmanetwork.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,goracers.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,goshennews.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,govinfosecurity.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,grmdaily.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,healio.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,hellenicnews.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,horsesdaily.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,hot931.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,ibtimes.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,ibtimes.com.au,au,AU,East Asia & Pacific,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,ideastream.org,org,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,industryweek.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,indy1033.iheart.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,ipolitics.ca,ca,CA,North America,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,jg-tc.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,kdminer.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,kfrxfm.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,kiss108.iheart.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,kissfmrgv.iheart.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,klaw.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,ksla.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,kunm.org,org,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,kysdc.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,languagehat.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,learningenglish.voanews.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,leightonbuzzardonline.co.uk,uk,GB,Europe & Central Asia,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,lfpress.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,longislandpress.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,macleayargus.com.au,au,AU,East Asia & Pacific,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,malaysiakini.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,manilatimes.net,net,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,mariettatimes.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,marshallnews.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,medicalxpress.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,megatucson.iheart.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,midutahradio.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,miss103.iheart.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,moderndogmagazine.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,mondovisione.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,muskogeephoenix.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,myaustinminnesota.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,mycrestonnow.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,naijanews.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,navarrepress.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,newarkadvertiser.co.uk,uk,GB,Europe & Central Asia,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,news.northeastern.edu,edu,NA,NA,OTHER,PLATFORM,0,0,0,0,0,0,0,PLATFORM
venezuela,newschannel20.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,newsradio1170.iheart.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,newsradio1410.iheart.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,newstalk1049.iheart.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,newwestrecord.ca,ca,CA,North America,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,nrn.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,ntxe-news.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,nutraingredients-usa.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,oberonreview.com.au,au,AU,East Asia & Pacific,OTHER,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,obituaries.goshennews.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,obituaries.muskogeephoenix.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,obituaries.reporter.net,net,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,offtackleempire.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,perhamfocus.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,postcourier.com.pg,pg,NA,NA,OTHER,PLATFORM,0,0,0,0,0,0,0,PLATFORM
venezuela,projectnoah.org,org,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
venezuela,publicnewsservice.org,org,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0,NATIONAL
